id,city,country,weeds,garden
90c6882f-ea0f-4b8e-9592-59089beb7a89,Timbuktu,Slovakia,Crabgrass,Aubergine
f9a0e7b4-956c-4345-9064-24b7b9cd8c58,Darwin,Cook Islands,Japanese knotweed,"Strawberry "
c9f4849e-9513-4757-9ec3-37ae7ed2e800,Dodoma,Uzbekistan,Chickweed,Clover
110a44ef-3283-483e-a38e-987b49605c3a,Rabat,Netherlands Antilles,Chickweed,Clover
a69d144b-465b-4778-bd8e-a3beae0358dd,Angra do Heroísmo,Qatar,Chickweed,Clover
327460fb-b7c2-4ddb-b3a6-9d55d0655772,Yamoussoukro,Heard Island and Mcdonald Islands,Plantain,"Strawberry "
5aa429a1-463d-446d-8e45-919d50835128,Barcelona,Venezuela,Chickweed,Aubergine
836a4afa-ee66-4aad-b66a-5d074a989e93,Quito,Åland Islands,Clover,Carrot
e4ab3838-280d-4454-86df-95cf586679a6,Bulawayo,Uzbekistan,Purslane,Chickweed
72b9ef76-1671-4927-b5f1-67f9555ebb63,New Orleans,Serbia and Montenegro,Chickweed,Clover
31c77be2-4f79-4303-9673-d9c749c5fe1e,Hanga Roa,Bhutan,Japanese knotweed,Cucumber
75823e7c-e266-431b-bd57-35717e4b4cf2,Cartagena,Jordan,Clover,Clover
9d6b74c4-1960-42b9-b32a-2f8946def690,Vilnius,Kyrgyzstan,Creeping buttercup,Plantain
53c48791-dacf-4ef7-9da7-41823e323752,Warsaw,"Cote D""Ivoire",Crabgrass,Clover
2e870a15-dc3d-47d3-91a8-981b3a144f46,Ouagadougou,Ukraine,Clover,Clover
bd828ee4-c652-4662-8552-d23e31e30b0a,Vancouver,Jordan,Bindweed,Plantain
255b83e9-556b-4833-968c-f9ee29c9ac32,Yellowknife,Libyan Arab Jamahiriya,Chickweed,Clover
3c35b97b-b820-44cc-8ca8-55af275a00cc,Santa Cruz de Tenerife,Paraguay,Creeping buttercup,Sunflower
d986002b-e03b-4acc-a9ca-14055611e253,Kigali,Hong Kong,Clover,Chickweed
1c51d591-ee91-4e13-9c8f-d9e7019cd249,Port of Spain,Lithuania,Japanese knotweed,Aubergine
f76a8e03-1ab6-4d7f-b5dd-982e851d4cc2,Sri Jayawardenapura-Kotte,Aruba,Creeping buttercup,Chickweed
78efc6d4-f8b5-4dd8-9dc2-09d076bd80d2,Banjul,"Tanzania, United Republic of",Crabgrass,Plantain
bd4b3f84-16f7-4d7b-a8a6-6a78c81a028a,Kuwait City,China,Bindweed,"Strawberry "
0a205609-d13b-4448-a566-33164c6e5ca5,London,"Tanzania, United Republic of",Japanese knotweed,Plantain
c4a9a63d-3b86-41e1-95ec-7d42dd7d3765,Tbilisi,Madagascar,Chickweed,Plantain
23f66ee1-f7bc-4f72-913d-d6bee4cb1cda,Valdivia,Bhutan,Plantain,Plantain
f7ce5e66-5968-4bcc-8769-7a77263001dc,Charlottetown,Philippines,Plantain,Chickweed
272fc499-35f9-42f8-bba4-c2ffd08a3aa4,Nairobi,Jersey,Clover,Carrot
17a85069-bfa7-4eac-8267-aaa760fae0b0,Valencia,Panama,Chickweed,Clover
c8101bff-77db-4924-8cb8-1b72959b6ff1,Port Hedland,Tunisia,Crabgrass,Clover
a6101d5e-bec9-478b-a996-40a18a378522,Bursa,Marshall Islands,Purslane,Cucumber
d91132a1-57a2-4235-9023-0ba68c0b7bac,Cuiabá,Lithuania,Crabgrass,Chickweed
ecedb5d5-3753-443e-86d9-7c19486a4e3d,Nukus,"Korea, Democratic People""S Republic of",Crabgrass,Clover
695765f0-1748-4369-b8d8-f8f2cd582b56,Thimphu,Guyana,Clover,Aubergine
1545759e-18b3-4c47-b0ad-4eee8ec7d36f,Málaga,"Korea, Republic of",Plantain,Plantain
a641c454-bd44-4f32-8f7e-6b06a80f193c,Bissau,Ukraine,Plantain,Chickweed
e3b1135c-afc6-4c8e-b855-35e74402dd40,Managua,Maldives,Plantain,"Strawberry "
ec9f374c-32dc-40a6-b6c8-6a7e4884b448,Tskhinvali,Panama,Clover,Clover
d1eedd5d-e02e-4d77-bcf7-62b247121f38,Saipan,Reunion,Chickweed,Sunflower
8b830a7e-1479-4b89-ad9c-46ada53ce229,Hiroshima,Saint Lucia,Chickweed,Chickweed
