id,city,country,weeds,garden,date
1064e07f-8503-4fe7-9f2c-bd4db3ff857c,Rawalpindi,"Taiwan, Province of China",Crabgrass,Plantain,1954-08-11
56004aba-325c-4763-9593-d3b030ee2ac6,Mumbai,Cocos (Keeling) Islands,Japanese knotweed,Aubergine,1970-09-18
bfb33966-5ede-4f8f-b38f-9476b8d55339,Rawalpindi,Saudi Arabia,Plantain,Carrot,1997-05-18
d1bcdb79-f7f3-4494-8699-7bfa56b05a07,Doha,Eritrea,Crabgrass,Aubergine,1995-11-18
19615b79-a5e5-4cf3-806b-140938445e53,Ouagadougou,Bahrain,Bindweed,"Strawberry ",1997-01-17
db9db222-90e3-4462-bc39-f765194ff002,Sofia,Barbados,Crabgrass,Plantain,1962-11-07
581096c0-8c84-499c-9ca0-5626cfa63010,Nukulaelae,British Indian Ocean Territory,Clover,Aubergine,1941-02-09
b73d95da-ee78-4195-9a30-da8ea2702342,San Francisco,Finland,Bindweed,Cucumber,1919-08-04
9f88e538-0ef2-4062-9b9a-246e0e950eef,Tabriz,Cambodia,Creeping buttercup,Aubergine,1907-05-02
826a28ec-7c65-4711-88e4-d2554975eef9,Phnom Penh,Uzbekistan,Plantain,Aubergine,2016-10-01
8cc245a0-a75d-4e1a-9236-461c7c3d1cb1,Chiang Mai,Mayotte,Japanese knotweed,Aubergine,1953-09-26
585e1ffb-dc31-4049-8b48-5a31c48757d0,Lanzhou,Panama,Creeping buttercup,Carrot,1942-05-22
4fb8e911-d50c-41bb-9fae-b71f4ce54d33,Nairobi,Yemen,Chickweed,Cucumber,1907-04-20
916f942a-363f-41e1-a274-25a603787443,Sabha,Russian Federation,Chickweed,"Strawberry ",1980-12-15
3b50acbf-72b0-43f7-93de-75603dbc723b,Perth,Tuvalu,Chickweed,Carrot,1961-05-24
4aeead0c-7650-483b-9ba9-045438478028,Batticaloa,Zambia,Japanese knotweed,Cucumber,1952-03-25
53bd1384-b00d-4e9a-9327-bd2e33de28cb,Fairbanks,Bahamas,Plantain,Chickweed,1956-02-25
07f32c17-c78e-4d3f-9883-994b1ee23ea7,Lyon,Yemen,Purslane,Clover,2004-05-17
04218acf-e84f-434b-b524-2f0f17addc72,Port Hedland,Svalbard and Jan Mayen,Plantain,Plantain,1900-09-02
9549577e-7cf8-4afb-9d68-eb0c5eba84e2,Timbuktu,Greece,Crabgrass,Clover,2001-02-26
211ef661-1653-46fa-bce1-f38351cdac89,Ludhiana,Liberia,Plantain,Clover,1943-09-09
8a7018a8-aa81-4cda-8110-a8b5ea6b13ef,Ibadan,Bangladesh,Creeping buttercup,Sunflower,2011-10-06
aff2c3db-14da-4718-94a1-22a4e6354f83,Norilsk,Tajikistan,Chickweed,Sunflower,1913-10-03
93b4e70a-4773-4862-9618-bfd3d7bfdc41,Edinburgh,Bermuda,Bindweed,"Strawberry ",1915-04-26
ba73b05e-fbae-4aba-b483-64789f6b1e6d,Port Moresby,Myanmar,Purslane,Chickweed,1924-01-12
57d72b46-359f-4af4-8f8c-f6c8bc8075a8,Norilsk,Canada,Japanese knotweed,Cucumber,1978-11-05
c305d55b-65c6-43bc-9c8d-9b7bdabc2b4c,Sri Jayawardenapura-Kotte,Haiti,Japanese knotweed,Clover,2016-11-16
93ee8a9f-d404-44fb-910a-c8baf32c7bfa,Tampere,Saint Helena,Bindweed,Carrot,1941-07-20
bdedf647-7928-4068-ab07-78d792fac2e2,Gaborone,Lithuania,Purslane,Sunflower,1925-08-21
b8985b6b-96e7-48a9-ba6a-2604360babf3,Chihuahua,Tonga,Creeping buttercup,Chickweed,1942-07-18
92655727-4c5e-4cb3-b471-ca0fd3531443,Douala,Algeria,Chickweed,Plantain,1940-04-08
40ccfd5f-32c0-4476-8ffe-2b472bc43f69,Aarhus,Bahamas,Japanese knotweed,Carrot,1995-11-21
6cc3db90-c6b1-4fc8-b9ec-52047e80158a,Naypyidaw,Puerto Rico,Japanese knotweed,Chickweed,1904-03-02
7d246be7-4d79-48ae-a19e-a94d140e8965,Rio de Janeiro,Australia,Creeping buttercup,Carrot,1989-05-06
1973beeb-8cfe-4c2f-8f5f-2f04e31d88bc,Kathmandu,Russian Federation,Creeping buttercup,Clover,1959-05-12
076197a0-2271-4e59-b3c3-f3032850a5fc,Hat Yai,Martinique,Chickweed,Clover,2008-05-02
341fe3b1-d09e-4b7a-8136-5bec346a0d5a,Yangon,Austria,Creeping buttercup,Clover,2016-12-21
ec30f52d-e0e1-4730-9dff-207f91fdb3c0,New York City,Guam,Plantain,Aubergine,1989-05-21
83d2510e-0b8a-47a8-946c-b73dc28b941a,Taipei,Armenia,Clover,"Strawberry ",1999-04-24
44846240-54ee-41a0-888f-95e2e5fc720c,Beijing,Montserrat,Japanese knotweed,Carrot,1918-05-03
743a4c30-3879-4d7c-a5d7-999f2e3dc196,Mersin,Russian Federation,Crabgrass,Aubergine,2013-08-22
d1f86f31-edc9-416d-b6ab-cae19c7b1ea0,Hai Phong,Eritrea,Japanese knotweed,Cucumber,1993-11-22
26fec9de-72d1-49ec-84c5-436867a90122,Kigali,Argentina,Creeping buttercup,Carrot,1980-12-23
82da0903-d042-4de3-a8ad-796a997b18e9,Ankara,Chad,Clover,Sunflower,1997-09-01
f718a12d-18c2-4fbb-80b1-3b08a99a9ec4,Timbuktu,Paraguay,Creeping buttercup,Clover,1966-12-16
dd09cf2f-a7ab-4036-babe-acaa759ffa04,Valletta,Cook Islands,Japanese knotweed,Clover,1998-03-30
8490d95d-ae19-4ff9-9996-0b8e3a6dafbc,Newcastle,Japan,Plantain,Clover,1950-02-05
5925465c-cd71-48e3-80a0-a4b47adfa9f8,Suva,Luxembourg,Creeping buttercup,Sunflower,1963-12-25
35dd59a6-74ee-4899-8c32-97f531a633f7,Bloemfontein,Cuba,Japanese knotweed,Plantain,1934-04-20
60f5ade5-5652-4426-91e5-a3d90840a239,Zhengzhou,Peru,Bindweed,Clover,1918-04-09
369fbf7d-7c67-4dbc-bf40-92aaf08bb2e9,Kota Bharu,Comoros,Plantain,"Strawberry ",1946-07-11
6695be93-951e-4b15-97bd-7833cbf07aaa,Lubumbashi,"Taiwan, Province of China",Creeping buttercup,Sunflower,1958-09-02
1c679a89-bde9-4060-a2c9-50f8082c3933,Nouakchott,Uzbekistan,Bindweed,"Strawberry ",1974-08-31
9cbf7188-ec0c-489c-87e3-d2527ba08b57,Tartu,Kazakhstan,Purslane,Clover,1968-05-06
f1dc97fd-be03-400e-9451-41394313fef7,Malacca Town,Cocos (Keeling) Islands,Creeping buttercup,Chickweed,1971-11-26
386fb783-c397-4d11-9af7-499179264f43,Strasbourg,Sao Tome and Principe,Plantain,Sunflower,1966-09-01
9fb26442-01b0-41a4-b780-ccc42955d970,Newcastle,United States,Bindweed,Cucumber,1991-01-12
53b633dd-17f0-4d09-98b6-4784ca29334f,Quebec City,Venezuela,Purslane,Sunflower,1978-03-27
c920bd52-3c3a-4567-b60a-009b3e793ecd,Paris,Lesotho,Japanese knotweed,Plantain,1930-02-20
62dc2d1a-e24c-4deb-b5a1-b5e51b7c7012,Houston,Syrian Arab Republic,Clover,Cucumber,1923-10-25
80c8b6fd-0319-43fc-93f7-fe10ce785d07,Gangtok,Austria,Plantain,Cucumber,1988-02-03
d210b7b2-9093-4db4-aa54-46647d8f46d9,Kaliningrad,Armenia,Clover,Plantain,1910-04-20
477e4b24-592d-4014-874a-2c7c40260510,Adak,French Southern Territories,Plantain,Cucumber,1994-12-23
78d22106-d37b-4910-9e0a-7369cce6b9ae,Bamako,Belize,Purslane,Aubergine,1939-01-15
a52b7732-f32c-4446-8a9e-9d27d4c291aa,Udon Thani,Åland Islands,Purslane,Clover,1903-08-20
eac3b684-4e27-4947-9ba9-6654df5121aa,Zürich,Australia,Purslane,Clover,2016-07-26
8dabfb17-5034-49d5-a1ad-bd371e1d279b,Gdańsk,Saint Helena,Clover,Clover,1990-04-29
ab3c6d14-90ac-4204-9729-e44d5ccb232c,Pretoria,Cambodia,Purslane,Sunflower,1961-12-09
ab0d811a-0ce7-4a2b-9ecf-4e892540a0a2,Hyderabad,Nauru,Purslane,Chickweed,2014-05-28
493c29d4-292c-4ab0-9877-191d3721b096,Mendoza,Malawi,Clover,Clover,1971-10-24
425ade13-0f44-40ad-9217-7afa63ce95f4,Malacca Town,Saint Pierre and Miquelon,Bindweed,Carrot,1984-02-16
61f93cfb-fb77-4dcd-bdb3-bc76f6d4c59f,Campo Grande,French Guiana,Creeping buttercup,Plantain,1914-12-07
da58c382-35e3-40a7-abf5-52bfd9e6e5da,Cape Town,Cocos (Keeling) Islands,Japanese knotweed,"Strawberry ",1945-04-04
f0611944-fc36-4392-b074-c22987964f9b,Honolulu,Tunisia,Clover,Clover,1991-04-09
21ae47b3-0734-4423-adda-e2f66688e220,Marseille,Sao Tome and Principe,Clover,Clover,1961-09-26
3516f0ef-3a2d-4153-b559-ccd6d1a3d6ce,Rawalpindi,Turkey,Bindweed,Chickweed,2005-09-04
8c30f164-b769-4268-a0d8-7c99bb33e7b3,New Delhi,Antigua and Barbuda,Japanese knotweed,Chickweed,2001-10-25
b0651b23-3361-48a6-ace9-2ed866882fe7,Malacca Town,Luxembourg,Chickweed,Clover,1984-09-22
274377b0-c497-4368-ae67-59d80804a56d,Kota Kinabalu,Kazakhstan,Crabgrass,Aubergine,1958-02-28
943dbeab-ebda-41ab-b5ac-c7ad90ec1103,Lyon,Faroe Islands,Crabgrass,Clover,1953-04-02
f496b937-a985-4777-bc51-48f0c34a7039,Yerevan,Slovakia,Chickweed,Clover,1910-12-19
94647609-b7d7-4706-9f4b-41d4cad6b31e,Harare,Angola,Plantain,Plantain,1932-10-18
f9d0d35c-4195-4305-be5e-c54b22e96f1e,Qingdao,Netherlands Antilles,Chickweed,Plantain,1975-10-14
ede4ceb9-a424-4136-b674-667b9e65065d,Porto Alegre,Falkland Islands (Malvinas),Purslane,Clover,1910-07-24
a7f92c5e-6f35-4229-bc4c-820f67a03cd0,Xi'an,Saudi Arabia,Purslane,Cucumber,1961-07-25
55e15978-6008-41d8-9a50-3f26d9dad28d,Charlotte Amalie,Macao,Chickweed,Clover,1966-05-09
5b0cddd8-1736-4b7c-b3a6-77373813ea80,Louisville,Faroe Islands,Purslane,Sunflower,1982-08-07
543ca5d0-113d-4359-9e17-5d8787d7cef7,Invercargill,Dominican Republic,Chickweed,Clover,1901-02-19
f9d95b27-9b09-42a7-86dd-49fc66f0fb0c,Dodoma,Kuwait,Plantain,Plantain,1917-06-06
6c945d65-60cd-4ce4-982b-95d5ffc4446a,Port-au-Prince,South Africa,Crabgrass,Clover,1934-07-19
d99bbc95-412d-4d64-9685-daf3670617ac,Serekunda,Israel,Clover,Cucumber,1917-08-25
31d2bb49-e51d-4a17-8b5e-388b40d9743f,City of San Marino,Niger,Bindweed,Aubergine,1904-06-10
ffb8de95-f5f4-4664-b66e-77c353b6d252,Port Elizabeth,Belgium,Bindweed,Clover,1936-03-16
d9cb5cb9-2218-4c72-b471-6890843be3bc,Macau,Ireland,Clover,"Strawberry ",1944-01-24
e97fa6de-82a2-4f87-b6b2-932195211ca8,Bangui,Kazakhstan,Purslane,Clover,1997-01-31
a70ff25f-31fe-4be8-87dc-ccae0d343d59,Apia,Kenya,Creeping buttercup,Clover,2019-08-17
180cc21a-1ff1-4026-be82-c06a75fc106e,El Paso,Barbados,Clover,"Strawberry ",1909-05-04
3ebf9211-1739-4c16-b4fb-e2c26fa07e58,Rotterdam,Botswana,Purslane,Clover,1994-08-28
230059f3-3ccf-46a7-a496-ea3d80ef4943,Macau,Guam,Chickweed,Sunflower,1938-07-23
edca1fbf-ed7c-4284-8979-e858012d1c08,Wellington,Jamaica,Japanese knotweed,Clover,1995-02-03
ac0a232b-128c-4395-9bab-6007b61775f4,Bissau,Slovakia,Creeping buttercup,Aubergine,1936-03-01
8706753c-7ed2-4a39-baa0-2238e5ee2574,Gangtok,Singapore,Japanese knotweed,Cucumber,1953-04-20
d476e8cd-d68f-45bb-a538-e65c144ceb24,Alofi,Ireland,Clover,Sunflower,2007-02-23
07cdaedd-4422-455a-8525-4465531b2a4f,Ipoh,"Moldova, Republic of",Clover,Clover,1968-05-23
e7060e30-9c7f-4eb1-971c-a032a13d6705,Mata-Utu,Honduras,Purslane,Clover,2015-07-31
8c9be028-bc6a-4553-b70a-2013ab354bc2,Raleigh,Cameroon,Chickweed,Plantain,1902-05-29
f20f5a14-12e4-4420-accb-1a1cf68e5471,Pekanbaru,Suriname,Purslane,Chickweed,2019-11-01
94c60ba2-8cd6-411b-88b6-58f8f253e4f4,Rochester,Faroe Islands,Japanese knotweed,Sunflower,1941-09-29
8c0663f3-1960-44e8-8e04-f1d97901413a,Saint Petersburg,Nauru,Plantain,Aubergine,1986-08-27
9abd6294-8f23-439b-8eab-ae49f72359b0,Valencia,China,Japanese knotweed,Clover,1972-06-17
49ce7021-1f1f-4b31-bb41-e88c878863d1,Tórshavn,Saudi Arabia,Clover,Clover,1970-06-05
65731c48-fe8f-4836-abb1-5935ef2f6c7b,Pretoria,Faroe Islands,Bindweed,Clover,1983-11-22
85e4a24c-a682-4ec0-b8eb-4f4e832b78c3,Curitiba,Vanuatu,Japanese knotweed,Clover,1964-07-10
0b7d5e83-4c3b-4909-ac7f-d41030eb9682,Bergen,Bahrain,Clover,Sunflower,1944-07-31
23ea9f31-a308-4dd8-bd4a-181c4aa3ec49,Kota Bharu,Anguilla,Chickweed,Aubergine,1907-07-21
4cc80353-6a53-4581-9703-1f023540e3f7,Basse-Terre,Kiribati,Creeping buttercup,Chickweed,2007-06-18
3f3e6d7e-7152-4edb-98f7-c42f1c00375d,Saskatoon,Hungary,Japanese knotweed,Sunflower,1935-02-10
3622d4fa-4cb9-40d0-acb1-eb5b9c3b7746,Athens,Svalbard and Jan Mayen,Japanese knotweed,Sunflower,2010-06-11
10f058f6-a8dc-4e32-a095-ae90c88fe3d7,Innsbruck,Ethiopia,Plantain,Cucumber,1947-05-12
93bde978-bef2-4bb8-869b-1cea95d1055f,Karachi,Malawi,Chickweed,Chickweed,1927-01-11
aec0f989-946b-4d1c-b07d-614004e4bd68,Nukulaelae,Dominica,Clover,Clover,1986-01-14
f34a7c30-0671-42b7-9420-17ac5e51e78c,Saint John,Argentina,Plantain,Clover,1936-01-29
821f9a96-d784-4106-a7a3-fb8e724eff68,Pontianak,Mauritania,Crabgrass,Clover,1971-07-20
e78bf018-d80b-4cb7-9a4c-e23c472a3c76,Belize City,Dominican Republic,Japanese knotweed,Clover,1949-02-02
21bf21ca-a4c1-48f5-acb6-45ca3d433434,Invercargill,Romania,Purslane,Clover,1943-03-17
e3444b4e-e0a7-45ff-98b5-66b87b7dd885,Paris,Western Sahara,Creeping buttercup,Carrot,1943-02-25
be91599b-07c8-4834-b213-03a6952cbc60,Blantyre,United Kingdom,Bindweed,Cucumber,1998-08-19
